转债代码,转债名称,股票代码,股票名称,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌.1,剩余本息,转股价格,转股溢价率,转股价值,距离转股日,剩余年限,回售年限,转债余额,转债成交额,转债换手率,余额/市值,余额/股本,股票市值,P/B,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,弹性,信用,折现率,老式双低,老式排名,新式双低,新式排名,热门度,日期
123158,N宙邦转,300037,新宙邦,能源电力,电力设备,129.999,30.00%,0.00%,44.01,-0.16%,115.1,42.77,26.30%,102.9,5月8天,5.93年,3.93年,19.7,250,9.80%,6.00%,6.20%,327,4.32,-2.07%,-2.50%,-5.43%,-5.58%,88.28,91.49,0.56,AA,4.02%,157.1,183,65.6,226,1,2022/10/21
118019,金盘转债,688676,金盘科技,能源电力,电力设备,152.028,1.97%,0.26%,41.33,3.38%,115.1,34.76,27.90%,118.9,5月0天,5.90年,3.90年,9.77,848,57.00%,5.60%,6.60%,176,7.09,-4.68%,-5.10%,-9.06%,-9.20%,88.37,91.59,0.66,AA,4.02%,185.2,381,93.6,380,1,2022/10/21
113062,常银转债,601128,常熟银行,金融,银行行业,117.485,-0.01%,0.43%,7.72,0.78%,110.6,8.08,23.00%,95.54,4月29天,5.90年,无权,60,177,2.50%,28.40%,27.10%,212,1.02,-1.03%,-1.36%,无权,无权,无权,90.43,0.53,AA+,3.52%,139.4,41,49,98,1,2022/10/21
110088,淮22转债,600985,淮北矿业,煤炭,煤炭开采,129.044,0.81%,-0.12%,15.54,1.24%,111,15.17,26.00%,102.44,4月28天,5.89年,3.89年,30,577,14.90%,7.80%,8.00%,386,1.3,-2.56%,-2.89%,-5.32%,-5.47%,90.73,91.87,0.56,AAA,3.32%,155.6,166,63.8,209,1,2022/10/21
113656,嘉诚转债!,603535,嘉诚国际,交通运输,物流业,116.27,-0.46%,0.28%,18.64,-0.32%,120,22.98,43.30%,81.11,4月15天,5.86年,3.86年,8,16,1.70%,18.40%,14.90%,43,1.41,0.55%,-0.04%,-2.90%,-3.06%,81.5,85.21,0.54,AA-,6.12%,151.4,125,66.2,233,1,2022/10/21
123157,科蓝转债,300663,科蓝软件,计算机及应用,软件开发,121.3,-0.86%,0.51%,14.18,-0.63%,120.3,16.02,37.00%,88.51,4月14天,5.85年,3.85年,4.95,26,4.30%,7.50%,6.70%,66,5.92,-0.14%,-0.73%,-3.92%,-4.07%,81.56,85.46,0.55,AA-,6.12%,154.1,146,68.6,244,3,2022/10/21
127071,天箭转债!,3009,中天火箭,航空航天,航空航天行业,119.369,-0.15%,-0.07%,41.23,-0.53%,112.2,53.11,53.80%,77.63,4月7天,5.83年,3.83年,4.95,7.6,1.30%,7.70%,6.00%,64,4.51,-1.07%,-1.44%,-3.71%,-3.83%,89.49,91.95,0.42,AA+,3.52%,161.1,228,69.2,250,2,2022/10/21
118018,瑞科转债!,688323,瑞华泰,化工,橡胶塑料,117.045,0.06%,0.75%,22.86,1.51%,114.5,30.98,58.60%,73.79,4月4天,5.82年,3.82年,4.3,9.2,1.80%,10.50%,7.70%,41,4.59,-0.38%,-0.82%,-3.17%,-3.31%,78.13,76.78,0.54,A+,7.22%,160.3,218,82.2,344,2,2022/10/21
127070,大中转债,1203,大中矿业,钢铁,铁矿石,127.512,-13.30%,12.60%,11.97,-1.24%,117.1,11.36,21.00%,105.37,4月3天,5.82年,3.82年,15.2,2297,112%,8.40%,8.90%,181,3.14,-1.48%,-1.98%,-5.11%,-5.27%,88.66,93.48,0.55,AA,4.02%,149.7,109,56.2,140,1,2022/10/21
123156,博汇转债,300839,博汇股份,石油天然气,石油,123.77,-0.59%,0.14%,14.06,-0.71%,121.3,15.05,32.50%,93.42,4月2天,5.81年,3.81年,3.97,4.3,0.90%,16.10%,15.00%,25,2.79,-0.35%,-0.97%,-4.24%,-4.44%,79.25,81.58,0.63,A+,7.22%,154.1,147,72.5,282,4,2022/10/21
123155,中陆转债!,301040,中环海陆,能源电力,风能,118.88,0.40%,0.53%,22.24,1.92%,121.5,31.8,70.00%,69.94,4月0天,5.80年,3.80年,3.6,19,4.30%,16.20%,11.30%,22,2.33,0.38%,-0.25%,-3.24%,-3.44%,79.4,81.8,0.48,A+,7.22%,167.8,298,86,364,3,2022/10/21
127068,顺博转债!,2996,顺博合金,有色金属,铝金属,116.801,0.43%,-1.26%,13.73,-2.00%,113.5,20.43,73.80%,67.21,4月0天,5.80年,3.80年,8.3,6.5,0.70%,13.80%,9.30%,60,2.56,-0.50%,-0.92%,-2.94%,-3.12%,82.19,80.96,0.42,AA-,6.12%,166.4,288,84.2,355,1,2022/10/21
